Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikToks"
2026-09-08 19:30,"we rescored all 9,896 jokes in the office. the #1 is not from the golden years. it's asian jim, season 9.

everyone assumes the answer lives in seasons 2 through 4. it doesn't.

#theoffice #asianjim #dwightschrute #jimhalpert #sitcom #tvtok",,,The Office — HATS OFF TO YOU FOR NOT BEING RACIST,Top Joke Series,,Season 2-4 truthers: the best Office *episodes* really are clustered early. The best single *joke* isn't. Those are different questions and the data splits them. Reply with a moment and I'll give you its number.,,,,
2026-09-09 19:30,"seinfeld has 13,316 jokes. our AI scored every single one. the winner is a nine-word exit line from a one-episode character.

no soup for you: not top 5.

#seinfeld #theimplant #jerryseinfeld #larrydavid #sitcom #tvtok",,,Seinfeld — THEY'RE REAL AND THEY'RE SPECTACULAR,Top Joke Series,,"We posted ""no soup for you"" as the #1 back in May. Then we rescored every show on one model and it dropped. This is what the corrected data says. Reply with a Seinfeld line and I'll tell you where it lands.",,,,
2026-09-10 19:30,"parks & rec has 9,873 jokes. our AI scored all of them. the #1 isn't a line. it's a man playing smooth jazz under a fake name.

bacon and eggs is #9 now.

#parksandrec #ronswanson #dukesilver #nickofferman #sitcom",,,Parks And Recreation — DUKE SILVER,Top Joke Series,,Bacon and eggs dropped after the August rescore. Skim milk is the top actual line at 9.46 and it's getting its own video. Reply with a Ron moment and I'll score it.,,,,
2026-09-11 19:30,"30 rock is the highest-rated sitcom in our entire dataset. 97.4. higher than seinfeld, higher than arrested development.

this is its #1 joke out of 11,421.

#30rock #jackdonaghy #alecbaldwin #tinafey #sitcom",,,30 Rock — HE'S GOING TO JACK!,Top Joke Series,,"Yes, 30 Rock beat Seinfeld (94.5), Arrested Development (95.0) and Veep (95.1). 3.52 jokes per minute for seven seasons is what does it. Reply with your favorite episode and I'll give you its score.",,,,
2026-09-12 19:30,"we've scored 173,000+ jokes across 21 shows. this is the single highest-scored joke in the whole dataset.

a narrator, one sentence, twelve seconds of setup that started three episodes earlier.

#arresteddevelopment #looseseal #buster #ronhoward #sitcom",,,Arrested Development — AND THEN A SEAL BITES OFF HIS HAND.,Top Joke Series,,"Chappelle's Show holds #2 and #3 in the whole dataset (9.85 and 9.83), then Seinfeld's ""real and spectacular"" at 9.82. AD is the only show with the outright #1. Reply with an AD line and I'll score it.",,,,
2026-09-13 19:30,"friends has 14,288 jokes. the three highest-scored are all ross saying the wrong name at his wedding.

this is what wins if you throw those out. phoebe. obviously.

#friends #phoebebuffay #lisakudrow #gladysandglynnis #sitcom",,,"Friends — WHOEVER DOESN'T GET GLADYS, GETS GLYNNIS",Top Joke Series,,"Friends also has the lowest show score of the 21 we've done: 73.2. High joke count, lower average craft. Say what you want in the replies, I'll give you the number for any moment you name.",,,,
2026-09-14 19:30,"it's always sunny has been on for 17 seasons. our AI scored all 8,786 jokes.

the winner is from season 11. the gang got funnier.

#iasip #alwayssunny #macanddennis #robmcelhenney #sitcom",,,It'S Always Sunny — YOU'RE EATING THE DOG!,Top Joke Series,,"Sunny's highest-scored episode is The Gang Goes to Hell Part 1 (92.8). ""I eat stickers all the time, dude"" is a 9.02 and gets its own video next month. Reply with a moment and I'll score it.",,,,
2026-09-15 19:30,"schitt's creek has 6,088 jokes. our AI scored every one. the #1 isn't a moira word. it's david, being sincere, exactly once.

the silkworm line dropped to #12 after our rescore.

#schittscreek #davidrose #danlevy #patrickbrewer #sitcom",,,Schitt'S Creek — YOU'RE MY MARIAH CAREY,Top Joke Series,,"We had the silkworm line as #1 in May. We rescored all 21 shows on one model in August and it moved. Moira's top joke is now ""Fold in the cheese"" at 9.06, which is getting its own video. Reply with a Moira-ism.",,,,
2026-09-16 19:30,"we scored 34,957 simpsons jokes. every single one across 552 episodes.

the #1 is not steamed hams. steamed hams is a 9.00 and it's fourth.

#thesimpsons #bartsimpson #steamedhams #springfield #cartoon",,,The Simpsons — BART GETS FAMOUS — S5E12,Top Joke Series,,"Steamed Hams gets its own video Oct 7, I'm not burying it. The Simpsons peaks at season 6 (82.6) and never gets back above 79 after season 9. Reply with an episode and I'll give you the score.",,,,
2026-09-17 19:30,"community's highest-scored joke is from the season nobody watched. season six. on yahoo screen.

the gas leak year is a genuine crater though. that part is true.

#community #dancommunity #keithdavid #sixseasonsandamovie #sitcom",,,Community — A MAN THAT KNOWS HOW TO MARRY HIS COUSIN,Top Joke Series,,"Season 4 (the gas leak year) really is the low point in the data. Season 6 is not. Remedial Chaos Theory's top joke is a 8.92, close but not the winner. Reply with an episode and I'll score it.",,,,
